0,24
1,38
2,85
3,43
4,63
5,68
6,77
7,65
8,67
9,14
10,86
11,99
12,96
13,38
14,19
15,23
16,61
17,61
18,13
19,53
20,21
21,87
22,88
23,30
24,1
25,8
26,55
27,94
28,32
29,58
30,43
31,75
32,40
33,43
34,47
35,33
36,95
37,18
38,22
39,88
40,77
41,34
42,22
43,69
44,0
45,6
46,36
47,6
48,20
49,79
50,72
51,28
52,50
53,24
54,70
55,53
56,71
57,17
58,73
59,75
60,74
61,68
62,78
63,16
64,38
65,12
66,53
67,46
68,35
69,15
70,87
71,52
72,96
73,24
74,59
75,22
76,82
77,30
78,50
79,14
80,35
81,13
82,70
83,82
84,1
85,3
86,52
87,35
88,12
89,50
90,30
91,13
92,27
93,44
94,88
95,37
96,52
97,68
98,4
99,80
