0,84
1,222
2,298
3,336
4,7
5,58
6,114
7,165
8,151
9,107
10,143
11,359
12,230
13,35
14,360
15,90
16,248
17,119
18,98
19,56
20,217
21,215
22,39
23,213
24,398
25,25
26,278
27,16
28,259
29,64
30,387
31,290
32,308
33,222
34,335
35,22
36,87
37,195
38,18
39,101
40,374
41,33
42,293
43,220
44,219
45,318
46,156
47,253
48,5
49,309
50,32
51,111
52,391
53,313
54,91
55,355
56,222
57,247
58,236
59,212
60,371
61,231
62,203
63,266
64,119
65,318
66,7
67,75
68,379
69,244
70,10
71,174
72,226
73,45
74,270
75,142
76,46
77,294
78,200
79,247
80,199
81,365
82,67
83,272
84,122
85,269
86,360
87,68
88,366
89,37
90,265
91,79
92,98
93,68
94,237
95,210
96,82
97,388
98,69
99,68
100,280
101,16
102,317
103,309
104,366
105,194
106,255
107,143
108,226
109,398
110,257
111,347
112,243
113,389
114,30
115,285
116,40
117,198
118,290
119,350
120,208
121,71
122,271
123,196
124,84
125,236
126,397
127,112
128,344
129,114
130,271
131,307
132,304
133,171
134,256
135,301
136,95
137,38
138,187
139,372
140,315
141,106
142,362
143,158
144,301
145,95
146,183
147,268
148,276
149,73
150,174
151,35
152,169
153,177
154,67
155,87
156,28
157,178
158,272
159,38
160,94
161,301
162,391
163,206
164,152
165,170
166,22
167,348
168,57
169,332
170,296
171,194
172,333
173,143
174,167
175,52
176,216
177,160
178,144
179,336
180,306
181,265
182,399
183,247
184,204
185,119
186,153
187,156
188,384
189,106
190,217
191,56
192,199
193,137
194,194
195,152
196,85
197,288
198,51
199,148
200,350
201,71
202,392
203,252
204,252
205,304
206,125
207,48
208,88
209,204
210,141
211,13
212,342
213,330
214,89
215,15
216,205
217,125
218,389
219,232
220,19
221,89
222,332
223,203
224,392
225,218
226,147
227,133
228,25
229,65
230,75
231,329
232,309
233,252
234,128
235,182
236,76
237,161
238,271
239,248
240,226
241,7
242,276
243,183
244,355
245,65
246,241
247,287
248,81
249,103
250,282
251,93
252,9
253,258
254,349
255,179
256,228
257,164
258,128
259,9
260,361
261,242
262,115
263,16
264,112
265,272
266,116
267,388
268,305
269,279
270,225
271,13
272,346
273,325
274,360
275,34
276,287
277,49
278,250
279,315
280,44
281,313
282,254
283,113
284,182
285,314
286,177
287,132
288,208
289,283
290,155
291,344
292,138
293,295
294,46
295,109
296,115
297,101
298,56
299,170
300,175
301,69
302,167
303,310
304,243
305,185
306,364
307,242
308,157
309,158
310,56
311,214
312,65
313,326
314,227
315,279
316,206
317,308
318,187
319,129
320,80
321,3
322,361
323,39
324,62
325,50
326,208
327,180
328,291
329,160
330,335
331,125
332,394
333,352
334,118
335,21
336,178
337,25
338,357
339,92
340,305
341,221
342,255
343,117
344,309
345,36
346,253
347,371
348,134
349,116
350,63
351,319
352,215
353,127
354,382
355,104
356,203
357,361
358,205
359,40
360,356
361,293
362,382
363,335
364,86
365,203
366,241
367,143
368,250
369,360
370,326
371,243
372,15
373,178
374,84
375,108
376,267
377,149
378,242
379,73
380,112
381,239
382,258
383,226
384,9
385,325
386,206
387,113
388,3
389,256
390,218
391,126
392,217
393,120
394,89
395,38
396,55
397,107
398,60
399,359
